tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1553,12/1/19 12:07 AM,12/1/19 12:33 AM,3681,Grand St,40.71517768,-74.03768331,3198,Heights Elevator,40.74871595,-74.0404433,29462,Subscriber,1980,1
416,12/1/19 12:16 AM,12/1/19 12:23 AM,3195,Sip Ave,40.7308971,-74.06391263,3679,Bergen Ave,40.72210379,-74.071455,29610,Subscriber,1956,1
294,12/1/19 12:20 AM,12/1/19 12:25 AM,3195,Sip Ave,40.7308971,-74.06391263,3678,Fairmount Ave,40.72572614,-74.07195926,26166,Subscriber,1977,1
97,12/1/19 12:21 AM,12/1/19 12:22 AM,3202,Newport PATH,40.7272235,-74.0337589,3638,Washington St,40.7242941,-74.0354826,29492,Subscriber,1993,1
286,12/1/19 12:29 AM,12/1/19 12:34 AM,3195,Sip Ave,40.7308971,-74.06391263,3679,Bergen Ave,40.72210379,-74.071455,29440,Customer,1990,1
192,12/1/19 12:36 AM,12/1/19 12:39 AM,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,29247,Customer,1969,0
538,12/1/19 1:08 AM,12/1/19 1:17 AM,3185,City Hall,40.7177325,-74.043845,3268,Lafayette Park,40.71346383,-74.06285852,29479,Customer,1996,1
426,12/1/19 1:16 AM,12/1/19 1:23 AM,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.72759597,-74.04424731,29659,Customer,1969,0
457,12/1/19 1:21 AM,12/1/19 1:28 AM,3195,Sip Ave,40.7308971,-74.06391263,3281,Leonard Gordon Park,40.74590997,-74.05727148,26267,Subscriber,1969,1
441,12/1/19 1:44 AM,12/1/19 1:52 AM,3186,Grove St PATH,40.71958612,-74.04311746,3192,Liberty Light Rail,40.7112423,-74.0557013,29273,Subscriber,1984,1
151,12/1/19 1:45 AM,12/1/19 1:47 AM,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,29503,Subscriber,1990,1
363,12/1/19 1:53 AM,12/1/19 2:00 AM,3202,Newport PATH,40.7272235,-74.0337589,3639,Harborside,40.7192517,-74.034234,26207,Subscriber,1949,1
120,12/1/19 2:08 AM,12/1/19 2:10 AM,3211,Newark Ave,40.72152515,-74.04630454,3270,Jersey & 6th St,40.72528911,-74.04557168,29592,Subscriber,1996,2
113,12/1/19 2:22 AM,12/1/19 2:24 AM,3211,Newark Ave,40.72152515,-74.04630454,3270,Jersey & 6th St,40.72528911,-74.04557168,29291,Subscriber,1993,1
307,12/1/19 3:13 AM,12/1/19 3:18 AM,3195,Sip Ave,40.7308971,-74.06391263,3280,Astor Place,40.7192822,-74.07126188,29295,Subscriber,1977,1
537,12/1/19 3:47 AM,12/1/19 3:56 AM,3640,Journal Square,40.73367,-74.0625,3281,Leonard Gordon Park,40.74590997,-74.05727148,29279,Subscriber,1989,1
